n_neighbors,n_components,min_dist,metric,min_cluster_size,min_samples,hdbscan_metric,cluster_selection_method,prediction_data,n_topics,silhouette,diversity,coherence_cv,silhouette_norm,diversity_norm,coherence_cv_norm,score_sdc,score_sc
15,10,0.0,cosine,200,20,euclidean,eom,True,31,-0.0032,0.5,0.7932,0.14769230769230768,0.29560100868590644,0.9823562891291976,0.47521653516913726,0.5650242984107526
30,3,0.0,cosine,10,5,euclidean,eom,True,890,0.0646,0.7301,0.4535,0.44571428571428573,0.9403194172036985,0.01565167899829256,0.4672284606387589,0.23068298235628915
30,3,0.0,cosine,10,10,euclidean,eom,True,612,0.0853,0.6806,0.5151,0.5367032967032966,0.8016251050714486,0.190950483779169,0.5097596285179714,0.3638268902412328
30,3,0.0,cosine,10,20,euclidean,eom,True,368,0.0906,0.631,0.5705,0.56,0.6626506024096386,0.34860557768924305,0.5237520600329605,0.45430278884462155
30,3,0.0,cosine,20,5,euclidean,eom,True,472,0.0798,0.6371,0.5425,0.5125274725274724,0.6797422247128048,0.26892430278884455,0.4870646666763739,0.3907258876581585
30,3,0.0,cosine,20,10,euclidean,eom,True,375,0.0886,0.6173,0.5736,0.5512087912087913,0.6242644998599047,0.35742743312464426,0.5109669080644468,0.4543181121667178
30,3,0.0,cosine,20,20,euclidean,eom,True,317,0.1008,0.5902,0.6005,0.6048351648351649,0.5483328663491173,0.43397837222538427,0.5290488011365555,0.5194067685302746
30,3,0.0,cosine,30,5,euclidean,eom,True,306,0.0751,0.5971,0.5973,0.49186813186813183,0.5676660128887643,0.4248719408081959,0.49480202852169725,0.45837003633816387
30,3,0.0,cosine,30,10,euclidean,eom,True,278,0.087,0.5813,0.6132,0.5441758241758241,0.5233959092182686,0.4701195219123505,0.5125637517688144,0.5071476730440874
30,3,0.0,cosine,30,20,euclidean,eom,True,226,0.0916,0.5584,0.6524,0.5643956043956044,0.4592322779490054,0.5816733067729083,0.5351003963725061,0.5730344555842564
30,3,0.0,cosine,50,5,euclidean,eom,True,192,0.0846,0.5922,0.6455,0.5336263736263736,0.5539366769403193,0.5620375640295958,0.5498668715320962,0.5478319688279847
30,3,0.0,cosine,50,10,euclidean,eom,True,178,0.0879,0.5764,0.661,0.5481318681318681,0.5096665732698236,0.6061468412066022,0.554648427536098,0.5771393546692352
30,3,0.0,cosine,50,20,euclidean,eom,True,158,0.1027,0.5665,0.6728,0.6131868131868132,0.48192771084337355,0.6397268070574842,0.5782804436958903,0.6264568101221487
